start test (v3) Wed Nov 28 22:57:33 EST 2018
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 7, 1720241310
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 8, 746360524
Wed Nov 28 23:05:39 2018, sequential_write, p, DRAM, 9, 2343354420
Wed Nov 28 23:05:39 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1924464622
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 1, 9418097528
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 2, 10448290784
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 3, 9603700822
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 4, 9606361436
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 5, 9642832036
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 6, 9520781846
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 7, 9489119334
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 8, 9542747400
Wed Nov 28 23:05:46 2018, random_write, p, DRAM, 9, 9524677892
Wed Nov 28 23:05:46 2018, random_write, s, /mnt/pmem0/copy-test, 23, 10944152280
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 1, 5583807562
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 2, 6859956880
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 3, 6659710370
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 4, 6439709062
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 5, 6225387844
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 6, 5397151492
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 7, 5949500072
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 8, 5227423456
Wed Nov 28 23:06:12 2018, backwards_write, p, DRAM, 9, 5814426980
Wed Nov 28 23:06:12 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 7705375390
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 1, 1059112898
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 2, 2607991262
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 3, 761848762
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 4, 1922251098
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 5, 1717120216
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 6, 1287519438
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 7, 1479241488
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 8, 2342650128
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 9, 755272852
Wed Nov 28 23:06:36 2018, sequential_write, p, DRAM, 10, 2097727924
Wed Nov 28 23:06:36 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1912067574
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 1, 10503989918
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 2, 9533385800
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 3, 9572075178
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 4, 9867069174
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 5, 9681012374
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 6, 9559628526
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 7, 9551386246
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 8, 9560558278
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 9, 9569993872
Wed Nov 28 23:06:44 2018, random_write, p, DRAM, 10, 9678573318
Wed Nov 28 23:06:44 2018, random_write, s, /mnt/pmem0/copy-test, 23, 10990690324
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 1, 5523664816
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 2, 6625056262
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 3, 5226953290
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 4, 6780401222
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 5, 6163243158
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 6, 5922780288
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 7, 5726948746
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 8, 6340271976
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 9, 5226147042
Wed Nov 28 23:07:12 2018, backwards_write, p, DRAM, 10, 7042736746
Wed Nov 28 23:07:12 2018, backwards_write, s, /mnt/pmem0/copy-test, 23, 7918104664
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 1, 1459045478
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 2, 2288424704
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 3, 770272478
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 4, 2761298074
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 5, 1872269956
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 6, 1057035646
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 7, 1276438154
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 8, 1664567230
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 9, 764501574
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 10, 2059612084
Wed Nov 28 23:07:38 2018, sequential_write, p, DRAM, 11, 2532812744
Wed Nov 28 23:07:38 2018, sequential_write, s, /mnt/pmem0/copy-test, 23, 1947171974
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 1, 9565448528
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 2, 9615581004
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 3, 9960452362
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 4, 10749073014
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 5, 9768792366
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 6, 9648042746
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 7, 9635466270
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 8, 9645243702
Wed Nov 28 23:07:46 2018, random_write, p, DRAM, 9, 9657894190
