start test Tue Nov 20 22:33:06 EST 2018
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 10, 1142578658
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 11, 1156402558
Tue Nov 20 22:40:29 2018, sequential_write, DRAM, p, 12, 1258529304
Tue Nov 20 22:40:29 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2263092642
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 1, 9067808332
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 2, 9142472730
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 3, 9194460628
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 4, 9318141308
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 5, 9351074498
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 6, 9165591598
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 7, 9153389058
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 8, 9187361596
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 9, 9215034092
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 10, 9361859434
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 11, 9411929080
Tue Nov 20 22:40:39 2018, random_write, DRAM, p, 12, 9157092822
Tue Nov 20 22:40:39 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11344121792
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 1, 807717320
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 2, 807030466
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 3, 807382714
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 4, 813882958
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 5, 817317486
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 6, 811220326
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 7, 808330250
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 8, 804638768
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 9, 802808984
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 10, 808344224
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 11, 812084980
Tue Nov 20 22:41:09 2018, backwards_write, DRAM, p, 12, 810423464
Tue Nov 20 22:41:09 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2265319902
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 1, 1264197086
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 2, 1200977186
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 3, 1182294210
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 4, 1244408474
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 5, 1315663216
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 6, 1281317596
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 7, 1227454568
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 8, 1187952250
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 9, 1173306402
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 10, 1217262144
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 11, 1259453686
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 12, 1216207750
Tue Nov 20 22:41:14 2018, sequential_write, DRAM, p, 13, 1206713488
Tue Nov 20 22:41:14 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2268672466
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 1, 9106277184
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 2, 9181245096
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 3, 9232263642
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 4, 9356967716
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 5, 9386983356
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 6, 9202530182
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 7, 9191346704
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 8, 9223851764
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 9, 9254240104
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 10, 9400266226
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 11, 9446878758
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 12, 9191428136
Tue Nov 20 22:41:24 2018, random_write, DRAM, p, 13, 9155761026
Tue Nov 20 22:41:24 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11381932082
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 1, 826498582
Tue Nov 20 22:41:57 2018, backwards_write, DRAM, p, 2, 826718800
