Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 4, 4661615158
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 5, 4684788134
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 6, 4556182890
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 7, 4636205486
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 8, 4531886472
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 9, 4516098326
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 10, 4547090854
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 11, 4612722548
Mon Nov 19 21:03:21 2018, sequential_write, /mnt/pmem0/copy-test, p, 12, 4595686578
Mon Nov 19 21:03:21 2018, sequential_write, DRAM, s, 20, 1583896466
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 1, 12371813558
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 2, 12442558096
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 3, 12510361012
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 4, 12622170456
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 5, 12662459330
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 6, 12468278528
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 7, 12460504650
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 8, 12486774744
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 9, 12503169216
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 10, 12667805310
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 11, 12704923502
Mon Nov 19 21:04:21 2018, random_write, /mnt/pmem0/copy-test, p, 12, 12468051376
Mon Nov 19 21:04:21 2018, random_write, DRAM, s, 20, 14591259692
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 1, 4900898580
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 2, 4520175462
Mon Nov 19 21:05:42 2018, backwards_write, /mnt/pmem0/copy-test, p, 3, 5576673276
