Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,14,923632594
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,15,1434600150
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,16,1313114474
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,17,1545803108
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,18,1779972052
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,19,1659852810
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,20,1016065718
Tue Dec  4 12:43:56 2018, sequential_write, s, DRAM,21,1194548624
Tue Dec  4 12:44:05 2018, random_write, p, /mnt/pmem1/copy-test,1,10786910406
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,13,9975416830
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,14,9047008354
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,15,9443802530
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,16,9206290548
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,17,9248867038
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,18,9110945254
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,19,9049484908
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,20,9134982210
Tue Dec  4 12:44:05 2018, random_write, s, DRAM,21,9191124754
Tue Dec  4 12:44:30 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2339513144
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,13,740858314
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,14,735699374
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,15,2287079010
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,16,2181387922
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,17,960112880
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,18,817104808
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,19,759392310
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,20,2240328184
Tue Dec  4 12:44:30 2018, backwards_write, s, DRAM,21,870215546
Tue Dec  4 12:44:34 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2221971396
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,13,1017314394
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,14,933928978
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,15,1107182558
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,16,1569839350
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,17,1455873672
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,18,1923164006
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,19,1817085162
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,20,1226099382
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,21,1338987394
Tue Dec  4 12:44:34 2018, sequential_write, s, DRAM,22,1695339162
Tue Dec  4 12:44:44 2018, random_write, p, /mnt/pmem1/copy-test,1,10816107832
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,13,9026487804
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,14,9080684676
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,15,9084867854
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,16,9235148772
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,17,9275802250
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,18,9142692048
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,19,9081966752
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,20,9160669904
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,21,10210487172
Tue Dec  4 12:44:44 2018, random_write, s, DRAM,22,9828918134
Tue Dec  4 12:45:10 2018, backwards_write, p, /mnt/pmem1/copy-test,1,2199370508
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,13,858726926
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,14,745894244
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,15,995243700
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,16,1014771430
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,17,759693854
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,18,771155122
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,19,817885248
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,20,924094256
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,21,2727490630
Tue Dec  4 12:45:10 2018, backwards_write, s, DRAM,22,2490615644
Tue Dec  4 12:45:14 2018, sequential_write, p, /mnt/pmem1/copy-test,1,2296836200
