start test (v4) Thu Nov 29 17:41:33 EST 2018
Thu Nov 29 17:53:53 2018, backwards_write, s, /mnt/pmem1/copy-test, 23, 8677322920
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 1, 840501178
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 2, 838835068
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 3, 840219618
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 4, 845247152
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 5, 846756116
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 6, 842914946
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 7, 840679402
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 8, 836515870
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 9, 833319378
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 10, 840257616
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 11, 841690282
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 12, 842355766
Thu Nov 29 17:54:25 2018, sequential_write, p, DRAM, 13, 839586036
Thu Nov 29 17:54:25 2018, sequential_write, s, /mnt/pmem1/copy-test, 23, 4797107362
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 1, 9705807224
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 2, 9788163662
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 3, 9779373194
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 4, 9880663258
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 5, 9896279324
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 6, 9816263426
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 7, 9830191802
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 8, 9776741716
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 9, 9799853636
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 10, 9942045110
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 11, 9934515206
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 12, 9772272924
Thu Nov 29 17:54:34 2018, random_write, p, DRAM, 13, 9755924594
Thu Nov 29 17:54:34 2018, random_write, s, /mnt/pmem1/copy-test, 23, 12465157888
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 1, 5376632934
Thu Nov 29 17:55:09 2018, backwards_write, p, DRAM, 2, 5375809752
