Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 12, 1167841546
Sun Nov 25 10:24:59 2018, sequential_write, DRAM, p, 13, 1213113786
Sun Nov 25 10:24:59 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2282043868
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 1, 9106801910
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 2, 9184492524
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 3, 9231617478
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 4, 9354289112
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 5, 9390879114
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 6, 9201677070
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 7, 9192022622
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 8, 9223990426
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 9, 9254036736
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 10, 9400708142
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 11, 9449960374
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 12, 9192321804
Sun Nov 25 10:25:09 2018, random_write, DRAM, p, 13, 9157147944
Sun Nov 25 10:25:09 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11392141174
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 1, 826954960
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 2, 826484814
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 3, 826276984
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 4, 832225924
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 5, 834974412
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 6, 830065168
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 7, 827439446
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 8, 823008780
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 9, 819631760
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 10, 827809766
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 11, 830736760
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 12, 829577952
Sun Nov 25 10:25:41 2018, backwards_write, DRAM, p, 13, 825667284
Sun Nov 25 10:25:41 2018, backwards_write, /mnt/pmem0/copy-test, s, 23, 2234019600
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 1, 1412359630
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 2, 1241791206
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 3, 1312214266
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 4, 1288910256
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 5, 1394353086
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 6, 1246086138
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 7, 1337802612
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 8, 1232767028
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 9, 1278143268
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 10, 1222412754
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 11, 1372641096
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 12, 1224083162
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 13, 1262849782
Sun Nov 25 10:25:46 2018, sequential_write, DRAM, p, 14, 1211461532
Sun Nov 25 10:25:46 2018, sequential_write, /mnt/pmem0/copy-test, s, 23, 2277992776
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 1, 9153613300
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 2, 9227499396
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 3, 9276942540
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 4, 9396308058
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 5, 9433630390
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 6, 9249057518
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 7, 9237211340
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 8, 9269617818
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 9, 9299569692
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 10, 9443797424
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 11, 9489044464
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 12, 9239592958
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 13, 9205151928
Sun Nov 25 10:25:56 2018, random_write, DRAM, p, 14, 9258652912
Sun Nov 25 10:25:56 2018, random_write, /mnt/pmem0/copy-test, s, 23, 11421231590
Sun Nov 25 10:26:31 2018, backwards_write, DRAM, p, 1, 850613712
Sun Nov 25 10:26:31 2018, backwards_write, DRAM, p, 2, 849563258
Sun Nov 25 10:26:31 2018, backwards_write, DRAM, p, 3, 849650462
